Date,MSTR_Close,BTC-USD_Close,BTC_Purchased,Total_BTC,Total_Investment_USD,Total_Assets,Total_Liabilities,Gross_Profit,MSTR_Market_Cap_USD,BTC_Holdings_Value_USD,BTC_to_Market_Cap_Ratio,Financial_Leverage_Ratio,Net_Assets_USD,BTC_to_Net_Assets_Ratio,Gross_Profit_Margin,Year
2020-03-01,,8562,,,,,,,,,,,,,,2020
2020-03-02,13.0,8869,,,,,,,2501811923.0,,,,,,,2020
2020-03-03,13.0,8787,,,,,,,2459175755.0,,,,,,,2020
2020-03-04,13.0,8755,,,,,,,2491747527.0,,,,,,,2020
2020-03-05,13.0,9078,,,,,,,2504739693.0,,,,,,,2020
2020-03-06,13.0,9122,,,,,,,2493760511.0,,,,,,,2020
2020-03-07,13.0,8909,,,,,,,2493760511.0,,,,,,,2020
2020-03-08,13.0,8108,,,,,,,2493760511.0,,,,,,,2020
2020-03-09,12.0,7923,,,,,,,2368413654.0,,,,,,,2020
2020-03-10,12.0,7909,,,,,,,2378478050.0,,,,,,,2020
2020-03-11,12.0,7911,,,,,,,2271796013.0,,,,,,,2020
2020-03-12,10.0,4970,,,,,,,1985968706.0,,,,,,,2020
2020-03-13,11.0,5563,,,,,,,2037205472.0,,,,,,,2020
2020-03-14,11.0,5200,,,,,,,2037205472.0,,,,,,,2020
2020-03-15,11.0,5392,,,,,,,2037205472.0,,,,,,,2020
2020-03-16,10.0,5014,,,,,,,1951750075.0,,,,,,,2020
2020-03-17,10.0,5225,,,,,,,2001156744.0,,,,,,,2020
2020-03-18,9.0,5238,,,,,,,1687149408.0,,,,,,,2020
2020-03-19,10.0,6191,,,,,,,1928327563.0,,,,,,,2020
2020-03-20,10.0,6198,,,,,,,1843421177.0,,,,,,,2020
2020-03-21,10.0,6185,,,,,,,1843421177.0,,,,,,,2020
2020-03-22,10.0,5830,,,,,,,1843421177.0,,,,,,,2020
2020-03-23,10.0,6416,,,,,,,1875077988.0,,,,,,,2020
2020-03-24,10.0,6734,,,,,,,1955958755.0,,,,,,,2020
2020-03-25,10.0,6681,,,,,,,1905454063.0,,,,,,,2020
2020-03-26,11.0,6716,,,,,,,2022749333.0,,,,,,,2020
2020-03-27,10.0,6469,,,,,,,1945345348.0,,,,,,,2020
2020-03-28,10.0,6242,,,,,,,1945345348.0,,,,,,,2020
2020-03-29,10.0,5922,,,,,,,1945345348.0,,,,,,,2020
2020-03-30,11.0,6429,,,,,,,2017259742.0,,,,,,,2020
2020-03-31,11.0,6438,,,,,388000000.0,87000000.0,2161088356.0,,,,,,0.04026,2020
2020-04-01,11.0,6606,,,,,388000000.0,87000000.0,2074900885.0,,,,,,0.04193,2020
2020-04-02,11.0,6793,,,,,388000000.0,87000000.0,2095029677.0,,,,,,0.04153,2020
2020-04-03,11.0,6733,,,,,388000000.0,87000000.0,2053674245.0,,,,,,0.04236,2020
2020-04-04,11.0,6867,,,,,388000000.0,87000000.0,2053674245.0,,,,,,0.04236,2020
2020-04-05,11.0,6791,,,,,388000000.0,87000000.0,2053674245.0,,,,,,0.04236,2020
2020-04-06,11.0,7271,,,,,388000000.0,87000000.0,2123209706.0,,,,,,0.04098,2020
2020-04-07,11.0,7176,,,,,388000000.0,87000000.0,2153951731.0,,,,,,0.04039,2020
2020-04-08,12.0,7334,,,,,388000000.0,87000000.0,2250752434.0,,,,,,0.03865,2020
2020-04-09,12.0,7302,,,,,388000000.0,87000000.0,2295035462.0,,,,,,0.03791,2020
2020-04-10,12.0,6865,,,,,388000000.0,87000000.0,2295035462.0,,,,,,0.03791,2020
2020-04-11,12.0,6859,,,,,388000000.0,87000000.0,2295035462.0,,,,,,0.03791,2020
2020-04-12,12.0,6971,,,,,388000000.0,87000000.0,2295035462.0,,,,,,0.03791,2020
2020-04-13,12.0,6845,,,,,388000000.0,87000000.0,2234100424.0,,,,,,0.03894,2020
2020-04-14,12.0,6842,,,,,388000000.0,87000000.0,2314798130.0,,,,,,0.03758,2020
2020-04-15,12.0,6642,,,,,388000000.0,87000000.0,2243432921.0,,,,,,0.03878,2020
2020-04-16,12.0,7116,,,,,388000000.0,87000000.0,2271430063.0,,,,,,0.0383,2020
2020-04-17,12.0,7096,,,,,388000000.0,87000000.0,2315347141.0,,,,,,0.03758,2020
2020-04-18,12.0,7257,,,,,388000000.0,87000000.0,2315347141.0,,,,,,0.03758,2020
2020-04-19,12.0,7189,,,,,388000000.0,87000000.0,2315347141.0,,,,,,0.03758,2020
2020-04-20,12.0,6881,,,,,388000000.0,87000000.0,2322483767.0,,,,,,0.03746,2020
2020-04-21,12.0,6880,,,,,388000000.0,87000000.0,2245445731.0,,,,,,0.03875,2020
2020-04-22,12.0,7117,,,,,388000000.0,87000000.0,2287533061.0,,,,,,0.03803,2020
2020-04-23,12.0,7429,,,,,388000000.0,87000000.0,2305282745.0,,,,,,0.03774,2020
2020-04-24,12.0,7550,,,,,388000000.0,87000000.0,2297414395.0,,,,,,0.03787,2020
2020-04-25,12.0,7569,,,,,388000000.0,87000000.0,2297414395.0,,,,,,0.03787,2020
2020-04-26,12.0,7679,,,,,388000000.0,87000000.0,2297414395.0,,,,,,0.03787,2020
2020-04-27,12.0,7795,,,,,388000000.0,87000000.0,2364753985.0,,,,,,0.03679,2020
2020-04-28,12.0,7807,,,,,388000000.0,87000000.0,2357800421.0,,,,,,0.0369,2020
2020-04-29,12.0,8801,,,,,388000000.0,87000000.0,2332731050.0,,,,,,0.0373,2020
2020-04-30,12.0,8658,,,,,388000000.0,87000000.0,2311687472.0,,,,,,0.03763,2020
2020-05-01,12.0,8864,,,,,388000000.0,87000000.0,2243249859.0,,,,,,0.03878,2020
2020-05-02,12.0,8988,,,,,388000000.0,87000000.0,2243249859.0,,,,,,0.03878,2020
2020-05-03,12.0,8897,,,,,388000000.0,87000000.0,2243249859.0,,,,,,0.03878,2020
