Date,MSTR_Close,BTC-USD_Close,^GSPC_Close,BTC_Purchased,Total_BTC,Total_Investment_USD,Total_Assets,Total_Liabilities,Gross_Profit,MSTR_Market_Cap_USD,BTC_Holdings_Value_USD,BTC_to_Market_Cap_Ratio,Financial_Leverage_Ratio,Net_Assets_USD,BTC_to_Net_Assets_Ratio,Gross_Profit_Margin,Year
2020-03-31,11,6870,2646,,,,,388000000,87000000,2114243362,,,,,,0.04026,2020
2020-04-30,11,7224,2758,,,,,388000000,87000000,2248959113,,,,,,0.03876,2020
2020-05-31,11,9262,2921,,,,,388000000,87000000,2222708000,,,,,,0.03917,2020
2020-06-30,11,9488,3099,,,,,387566666,87000000,2205133513,,,,,,0.03949,2020
2020-07-31,11,9589,3199,,,,,375000000,87000000,2170851557,,,,,,0.04009,2020
2020-08-31,13,11651,3387,21454.0,21454.0,250000000.0,,375000000,87000000,2518145106,250830570.0,0.09506,,,,0.03474,2020
2020-09-30,14,10659,3361,18814.0,30971.0,349166666.0,,375300000,87633333,2721299924,331129465.0,0.1208,,,,0.03229,2020
2020-10-31,16,11886,3419,16796.0,38250.0,425000000.0,,384000000,106000000,3018534607,454676915.0,0.1506,,,,0.03528,2020
2020-11-30,21,16645,3548,16796.0,38250.0,425000000.0,,384000000,106000000,3914314593,636700220.0,0.1654,,,,0.02793,2020
2020-12-31,31,21982,3694,13556.0,51094.0,700806451.0,,401064516,106161290,5830847738,1163526232.0,0.1959,,,,0.01835,2020
2021-01-31,53,34761,3787,20184.0,70571.0,1128225806.0,,913000000,111000000,9798245874,2452974760.0,0.254,,,,0.01154,2021
2021-02-28,88,46306,3885,3716.0,74542.0,1327857142.0,,913000000,111000000,16185523880,3453973926.0,0.2179,,,,0.007044,2021
2021-03-31,70,54997,3912,257.0,91206.0,2204387096.0,,950580645,110645161,12885424754,5016652269.0,0.3918,,,,0.008666,2021
2021-04-30,68,57206,4133,254.0,91545.0,2224000000.0,,2078000000,100000000,12530121634,5236953709.0,0.4183,,,,0.008019,2021
2021-05-31,52,46442,4175,245.0,91848.0,2239709677.0,,2078000000,100000000,9713374936,4263819627.0,0.4364,,,,0.01047,2021
2021-06-30,55,35844,4235,4487.0,96414.0,2414000000.0,,2093633333,100066666,10197421146,3446419878.0,0.3416,,,,0.009945,2021
2021-07-31,58,34444,4364,13005.0,105085.0,2740000000.0,,2547000000,102000000,10849700953,3619650070.0,0.3346,,,,0.009475,2021
2021-08-31,70,45708,4454,13005.0,105085.0,2740000000.0,,2547000000,102000000,12931779773,4803332648.0,0.3717,,,,0.007909,2021
2021-09-30,62,45939,4454,10576.0,110459.0,2991400000.0,,2546266666,102133333,11520924381,5066499566.0,0.4409,,,,0.008908,2021
2021-10-31,70,57911,4464,8957.0,114042.0,3159000000.0,,2525000000,106000000,12930297871,6604396940.0,0.5102,,,,0.00823,2021
2021-11-30,75,60621,4668,8761.0,114742.0,3200400000.0,,2525000000,106000000,13845329549,6953554734.0,0.5032,,,,0.007702,2021
2021-12-31,59,49262,4669,2722.0,122277.0,3642896774.0,,2526709677,106161290,10909366789,6022444209.0,0.5526,,,,0.009765,2021
2022-01-31,44,41113,4580,1873.0,124412.0,3750806451.0,,2578000000,111000000,8236360705,5115083431.0,0.6311,,,,0.01388,2022
2022-02-28,39,40763,4425,660.0,125051.0,3775000000.0,,2578000000,111000000,7355294172,5097513193.0,0.6937,,,,0.01515,2022
2022-03-31,43,41965,4389,660.0,125051.0,3775000000.0,,2584354838,110451612,8069475630,5247919968.0,0.6516,,,,0.0138,2022
2022-04-30,43,41434,4391,3699.0,128662.0,3939666666.0,,2775000000,94000000,8060548221,5328461127.0,0.6635,,,,0.01175,2022
2022-05-31,23,31705,4049,4167.0,129218.0,3965000000.0,,2775000000,94000000,4380797634,4096999503.0,0.9616,,,,0.0225,2022
2022-06-30,19,24383,3890,3798.0,129266.0,3966000000.0,,2774333333,94100000,3595024962,3151775785.0,0.8757,,,,0.02672,2022
2022-07-31,22,21538,3916,480.0,129699.0,3975000000.0,,2755000000,97000000,4237500371,2793619683.0,0.6744,,,,0.02369,2022
2022-08-31,29,22365,4163,480.0,129699.0,3975000000.0,,2755000000,97000000,5460657096,2900882374.0,0.5355,,,,0.01806,2022
2022-09-30,21,19804,3862,414.0,129809.0,3977200000.0,,2754700000,97100000,3970107677,2570773615.0,0.6509,,,,0.02467,2022
2022-10-31,23,19650,3714,301.0,130000.0,3981000000.0,,2746000000,100000000,4311752137,2554568333.0,0.5964,,,,0.0234,2022
2022-11-30,19,17600,3926,301.0,130000.0,3981000000.0,,2746000000,100000000,3603948603,2288105861.0,0.6454,,,,0.02867,2022
2022-12-31,17,16949,3910,435.0,130831.0,3996258064.0,,2747516129,100193548,3280290125,2217361641.0,0.6873,,,,0.0311,2022
2023-01-31,20,20250,3959,810.0,132500.0,4027000000.0,,2793000000,106000000,3853951597,2683220067.0,0.7056,,,,0.0286,2023
2023-02-28,26,23304,4076,810.0,132500.0,4027000000.0,,2793000000,106000000,4971359163,3087851443.0,0.6226,,,,0.02141,2023
2023-03-31,24,25116,3962,1720.0,133541.0,4045225806.0,,2786225806,105612903,4500660709,3356988665.0,0.7466,,,,0.02375,2023
2023-04-30,30,28857,4123,1766.0,139860.0,4166000000.0,,2583000000,94000000,5640318447,4036139294.0,0.7167,,,,0.01672,2023
2023-05-31,28,27498,4152,1045.0,140000.0,4170000000.0,,2583000000,94000000,5392131012,3849902999.0,0.7152,,,,0.01749,2023
2023-06-30,29,27762,4344,2550.0,141644.0,4216266666.0,3363104000.0,2581700000,93966666,5553258817,3936877423.0,0.7081,0.7564,819104000.0,5.668,0.01699,2023
2023-07-31,41,30056,4501,11950.0,152348.0,4517419354.0,3363104000.0,2544000000,93000000,7666577458,4579184906.0,0.602,0.7564,819104000.0,5.59,0.01222,2023
2023-08-31,35,27852,4449,467.0,152800.0,4530000000.0,3363104000.0,2544000000,93000000,6676393895,4255906745.0,0.6385,0.7564,819104000.0,5.196,0.014,2023
2023-09-30,33,26305,4415,1628.0,154070.0,4565000000.0,3363465233.0,2543666666,93333333,6211009027,4053341442.0,0.654,0.7562,819798566.0,4.944,0.01505,2023
2023-10-31,35,29755,4263,5445.0,158245.0,4680000000.0,3373941000.0,2534000000,103000000,6503942495,4708721629.0,0.7249,0.7511,839941000.0,5.606,0.01601,2023
